Nº | TIPO | RESULTADO | PnL | BALANCE ACUM.
190 | UP   | 🛡️ TRAIL | $  0.10 | $   28.80
191 | UP   | 🛡️ B-EVEN | $  0.00 | $   28.80
192 | DOWN | 🛡️ TRAIL | $  0.10 | $   28.90
193 | UP   | 🛡️ TRAIL | $  0.80 | $   29.70
194 | DOWN | 🛡️ TRAIL | $  1.00 | $   30.70
195 | DOWN | 🛡️ TRAIL | $  0.70 | $   31.40
196 | DOWN | ✅ TARGET | $  3.00 | $   34.40
197 | DOWN | 🛡️ TRAIL | $  0.10 | $   34.50
198 | DOWN | 🛡️ TRAIL | $  0.60 | $   35.10
199 | UP   | 🛡️ TRAIL | $  0.40 | $   35.50
200 | UP   | 🛡️ TRAIL | $  0.30 | $   35.80
201 | UP   | 🛡️ TRAIL | $  0.70 | $   36.50
202 | UP   | ❌ LOSS   | $ -1.50 | $   35.00
203 | DOWN | ❌ LOSS   | $ -1.50 | $   33.50
204 | UP   | ❌ LOSS   | $ -1.50 | $   32.00
205 | DOWN | 🛡️ TRAIL | $  0.30 | $   32.30
206 | DOWN | 🛡️ TRAIL | $  1.20 | $   33.50
207 | DOWN | 🛡️ TRAIL | $  1.20 | $   34.70
208 | DOWN | 🛡️ TRAIL | $  1.60 | $   36.30
209 | DOWN | 🛡️ TRAIL | $  0.20 | $   36.50
210 | DOWN | 🛡️ B-EVEN | $  0.00 | $   36.50
211 | UP   | ❌ LOSS   | $ -1.50 | $   35.00
212 | DOWN | 🛡️ TRAIL | $  1.20 | $   36.20
213 | UP   | 🛡️ TRAIL | $  0.80 | $   37.00
214 | UP   | 🛡️ TRAIL | $  0.20 | $   37.20
215 | UP   | 🛡️ B-EVEN | $  0.00 | $   37.20
216 | UP   | ❌ LOSS   | $ -1.50 | $   35.70
217 | DOWN | 🛡️ TRAIL | $  0.10 | $   35.80
218 | UP   | ❌ LOSS   | $ -1.50 | $   34.30
219 | DOWN | 🛡️ TRAIL | $  1.00 | $   35.30
220 | DOWN | 🛡️ TRAIL | $  0.60 | $   35.90
221 | UP   | 🛡️ TRAIL | $  0.10 | $   36.00
222 | DOWN | 🛡️ TRAIL | $  0.80 | $   36.80
223 | UP   | 🛡️ TRAIL | $  1.30 | $   38.10
224 | UP   | ✅ TARGET | $  3.00 | $   41.10
225 | UP   | 🛡️ TRAIL | $  0.10 | $   41.20
226 | UP   | 🛡️ TRAIL | $  0.60 | $   41.80
227 | DOWN | 🛡️ TRAIL | $  0.30 | $   42.10
228 | UP   | 🛡️ TRAIL | $  1.90 | $   44.00
229 | UP   | ❌ LOSS   | $ -1.50 | $   42.50
230 | DOWN | 🛡️ TRAIL | $  0.20 | $   42.70
231 | DOWN | ✅ TARGET | $  3.00 | $   45.70
232 | DOWN | 🛡️ TRAIL | $  0.30 | $   46.00
233 | UP   | 🛡️ TRAIL | $  0.30 | $   46.30
234 | UP   | ❌ LOSS   | $ -1.50 | $   44.80
235 | DOWN | 🛡️ TRAIL | $  0.50 | $   45.30
236 | UP   | ❌ LOSS   | $ -1.50 | $   43.80
237 | DOWN | 🛡️ TRAIL | $  1.70 | $   45.50
238 | DOWN | 🛡️ TRAIL | $  0.50 | $   46.00
239 | DOWN | 🛡️ TRAIL | $  1.30 | $   47.30
240 | DOWN | 🛡️ TRAIL | $  0.10 | $   47.40
241 | UP   | ❌ LOSS   | $ -1.50 | $   45.90
242 | DOWN | ❌ LOSS   | $ -1.50 | $   44.40
243 | UP   | 🛡️ TRAIL | $  0.40 | $   44.80
244 | UP   | 🛡️ TRAIL | $  0.20 | $   45.00
245 | UP   | 🛡️ TRAIL | $  0.90 | $   45.90
246 | DOWN | ❌ LOSS   | $ -1.50 | $   44.40
247 | UP   | 🛡️ TRAIL | $  0.40 | $   44.80
248 | UP   | 🛡️ TRAIL | $  1.20 | $   46.00
249 | UP   | 🛡️ TRAIL | $  0.80 | $   46.80
250 | UP   | 🛡️ TRAIL | $  0.30 | $   47.10
251 | DOWN | ❌ LOSS   | $ -1.50 | $   45.60
252 | UP   | 🛡️ TRAIL | $  0.10 | $   45.70
253 | UP   | ❌ LOSS   | $ -1.50 | $   44.20
254 | DOWN | 🛡️ TRAIL | $  0.90 | $   45.10
255 | UP   | 🛡️ TRAIL | $  0.40 | $   45.50
256 | UP   | 🛡️ TRAIL | $  2.30 | $   47.80
257 | UP   | ✅ TARGET | $  3.00 | $   50.80
258 | UP   | 🛡️ TRAIL | $  0.40 | $   51.20
